Date,People saw 0 cars (unique),People saw +1 cars (unique),Coverage Ratio (unique)
2016-12-18 23,9,32,78
2016-12-18 22,29,64,69
2016-12-18 21,5,39,89
2016-12-18 20,13,48,79
2016-12-18 19,12,77,87
2016-12-18 18,13,62,83
2016-12-18 17,9,61,87
2016-12-18 16,20,60,75
2016-12-18 15,7,37,84
2016-12-18 14,16,43,73
2016-12-18 13,19,46,71
2016-12-18 12,9,35,80
2016-12-18 11,9,20,69
2016-12-18 10,7,15,68
2016-12-18 09,7,5,42
2016-12-18 08,0,10,100
2016-12-18 07,1,4,80
2016-12-18 06,3,15,83
2016-12-18 05,12,33,73
2016-12-18 04,47,55,54
2016-12-18 03,15,72,83
2016-12-18 02,1,64,98
2016-12-18 01,21,69,77
2016-12-18 00,7,81,92
2016-12-17 23,10,79,89
2016-12-17 22,5,83,94
2016-12-17 21,25,96,79
2016-12-17 20,48,84,64
2016-12-17 19,34,89,72
2016-12-17 18,17,54,76
2016-12-17 17,24,63,72
2016-12-17 16,7,44,86
2016-12-17 15,14,39,74
2016-12-17 14,23,51,69
2016-12-17 13,16,32,67
2016-12-17 12,16,42,72
2016-12-17 11,30,25,45
2016-12-17 10,36,18,33
2016-12-17 09,37,25,40
2016-12-17 08,17,15,47
2016-12-17 07,8,11,58
2016-12-17 06,10,9,47
2016-12-17 05,12,25,68
2016-12-17 04,106,54,34
2016-12-17 03,105,87,45
2016-12-17 02,67,102,60
2016-12-17 01,69,96,58
2016-12-17 00,51,115,69
2016-12-16 23,5,107,96
2016-12-16 22,21,107,84
2016-12-16 21,39,153,80
2016-12-16 20,87,172,66
2016-12-16 19,129,141,52
2016-12-16 18,62,169,73
2016-12-16 17,29,127,81
2016-12-16 16,85,54,39
2016-12-16 15,80,36,31
2016-12-16 14,54,47,47
2016-12-16 13,66,25,27
2016-12-16 12,37,44,54
2016-12-16 11,32,53,62
2016-12-16 10,44,60,58
2016-12-16 09,90,73,45
2016-12-16 08,54,50,48
2016-12-16 07,22,13,37
2016-12-16 06,2,3,60
2016-12-16 05,2,4,67
2016-12-16 04,18,13,42
2016-12-16 03,59,18,23
2016-12-16 02,59,26,31
2016-12-16 01,34,40,54
2016-12-16 00,26,60,70
2016-12-15 23,34,89,72
2016-12-15 22,2,91,98
2016-12-15 21,16,97,86
2016-12-15 20,66,105,61
2016-12-15 19,105,81,44
2016-12-15 18,124,72,37
2016-12-15 17,51,66,56
2016-12-15 16,20,46,70
2016-12-15 15,18,25,58
2016-12-15 14,28,32,53
2016-12-15 13,31,32,51
2016-12-15 12,18,32,64
2016-12-15 11,20,46,70
2016-12-15 10,27,47,64
2016-12-15 09,43,57,57
2016-12-15 08,57,37,39
2016-12-15 07,17,14,45
2016-12-15 06,2,2,50
2016-12-15 05,0,3,100
2016-12-15 04,5,3,38
2016-12-15 03,13,9,41
2016-12-15 02,16,20,56
2016-12-15 01,7,30,81
2016-12-15 00,29,62,68
2016-12-14 23,13,71,85
2016-12-14 22,14,71,84
2016-12-14 21,12,68,85
2016-12-14 20,22,83,79
2016-12-14 19,75,79,51
2016-12-14 18,96,66,41
2016-12-14 17,43,66,61
2016-12-14 16,14,48,77
2016-12-14 15,11,42,79
2016-12-14 14,10,21,68
2016-12-14 13,2,36,95
2016-12-14 12,9,28,76
2016-12-14 11,2,27,93
2016-12-14 10,19,52,73
2016-12-14 09,61,64,51
2016-12-14 08,51,44,46
2016-12-14 07,17,22,56
2016-12-14 06,1,3,75
2016-12-14 05,2,3,60
2016-12-14 04,3,3,50
2016-12-14 03,12,3,20
2016-12-14 02,10,11,52
2016-12-14 01,13,16,55
2016-12-14 00,7,28,80
2016-12-13 23,11,52,83
2016-12-13 22,13,63,83
2016-12-13 21,9,83,90
2016-12-13 20,3,62,95
2016-12-13 19,30,83,73
2016-12-13 18,58,76,57
2016-12-13 17,30,52,63
2016-12-13 16,15,29,66
2016-12-13 15,10,20,67
2016-12-13 14,9,26,74
2016-12-13 13,11,25,69
2016-12-13 12,15,31,67
2016-12-13 11,9,33,79
2016-12-13 10,14,33,70
2016-12-13 09,61,50,45
2016-12-13 08,80,32,29
2016-12-13 07,24,14,37
2016-12-13 06,8,7,47
2016-12-13 05,1,3,75
2016-12-13 04,0,1,100
2016-12-13 03,1,2,67
2016-12-13 02,1,7,88
2016-12-13 01,7,10,59
2016-12-13 00,17,25,60
2016-12-12 23,6,29,83
2016-12-12 22,12,41,77
2016-12-12 21,17,33,66
2016-12-12 20,1,45,98
2016-12-12 19,12,52,81
2016-12-12 18,9,52,85
2016-12-12 17,9,46,84
2016-12-12 16,8,30,79
2016-12-12 15,5,17,77
2016-12-12 14,4,24,86
2016-12-12 13,8,26,76
2016-12-12 12,4,27,87
2016-12-12 11,4,30,88
2016-12-12 10,23,36,61
2016-12-12 09,41,45,52
2016-12-12 08,42,29,41
